index,推數,噓數,箭頭數,content_function,content_pronoun,content_ppron,content_i,content_we,content_you,content_shehe,content_they,content_youpl,content_ipron,content_prep,content_auxverb,content_adverb,content_conj,content_negate,content_quanunit,content_prepend,content_specart,content_particle,content_modal_pa,content_general_pa,content_compare,content_interrog,content_number,content_quant,content_affect,content_posemo,content_negemo,content_anx,content_anger,content_sad,content_social,content_family,content_friend,content_female,content_male,content_cogproc,content_insight,content_cause,content_discrep,content_tentat,content_certain,content_differ,content_percept,content_see,content_hear,content_feel,content_bio,content_body,content_health,content_sexual,content_ingest,content_drives,content_affiliation,content_achieve,content_power,content_reward,content_risk,content_tensem,content_focuspast,content_focuspresent,content_focusfuture,content_progm,content_relativ,content_motion,content_space,content_time,content_work,content_leisure,content_home,content_money,content_relig,content_death,content_informal,content_swear,content_netspeak,content_assent,content_nonflu,content_filler,message_function,message_pronoun,message_ppron,message_i,message_we,message_you,message_shehe,message_they,message_youpl,message_ipron,message_prep,message_auxverb,message_adverb,message_conj,message_negate,message_quanunit,message_prepend,message_specart,message_particle,message_modal_pa,message_general_pa,message_compare,message_interrog,message_number,message_quant,message_affect,message_posemo,message_negemo,message_anx,message_anger,message_sad,message_social,message_family,message_friend,message_female,message_male,message_cogproc,message_insight,message_cause,message_discrep,message_tentat,message_certain,message_differ,message_percept,message_see,message_hear,message_feel,message_bio,message_body,message_health,message_sexual,message_ingest,message_drives,message_affiliation,message_achieve,message_power,message_reward,message_risk,message_tensem,message_focuspast,message_focuspresent,message_focusfuture,message_progm,message_relativ,message_motion,message_space,message_time,message_work,message_leisure,message_home,message_money,message_relig,message_death,message_informal,message_swear,message_netspeak,message_assent,message_nonflu,message_filler,星期,年,月,日,美金台幣比,今日收盤,明日收盤,明日漲跌
238,0,0,0,360,34,23,9,0,3,11,0,0,11,58,12,52,23,55,95,17,11,29,3,26,38,1,38,14,73,13,48,5,13,5,73,2,0,0,0,109,28,17,7,21,17,36,82,16,14,51,50,15,1,1,33,89,22,14,51,7,3,36,5,14,12,9,186,47,47,86,22,4,2,5,19,3,220,2,188,42,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,3,20,29.175,11010.83984,11011.07031,0.23047
239,3735,998,3467,27328,1018,481,149,28,95,179,28,2,537,3272,2628,6243,1471,1285,6000,3543,1096,1917,211,1706,1998,1623,2659,3123,3082,1464,1155,96,165,91,2869,74,136,41,43,7541,1530,694,1453,2302,929,1283,1586,590,352,466,1365,872,85,141,376,6006,506,1042,4117,678,352,2834,546,1250,785,361,18183,4583,11770,5256,3339,313,141,2457,533,58,2971,77,1339,1118,169,617,57896,3640,1962,692,30,807,351,46,36,1678,5707,7978,15698,2252,5161,8038,3695,2496,7378,2722,4656,5257,1741,3205,4083,10390,4498,4966,319,837,398,5898,277,161,124,155,16473,4077,1311,4210,2453,2299,4001,4460,1475,1033,1160,3639,2158,372,294,1062,9097,844,1325,5450,1628,877,7041,1159,2378,1840,1921,24235,6396,11822,9925,3403,859,487,2802,884,486,10006,719,2410,5077,1403,1898,2,2019,5,6,30.925,10897.12012,10987.13965,90.01953
240,1,0,0,121,4,2,0,0,1,1,0,0,2,28,4,15,7,19,38,5,4,4,1,3,10,2,14,4,19,2,15,1,6,3,25,0,0,1,0,31,7,4,0,7,5,14,17,2,3,12,17,1,0,1,15,34,5,4,24,2,0,8,3,2,3,3,55,9,15,24,9,0,0,0,12,0,50,2,45,9,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,0,0,1,2018,2,10,29.39,10528.51953,10371.75,-156.76953
241,0,0,0,147,3,0,0,0,0,0,0,0,3,18,11,19,3,3,45,19,6,24,3,21,12,2,11,9,17,6,10,0,0,0,17,0,1,0,0,40,28,2,3,5,4,5,12,7,4,1,12,8,4,0,1,38,4,10,17,7,7,26,8,5,10,5,66,14,29,44,25,2,0,22,10,1,32,0,26,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,3,14,32.87,8747.900391,8611.179688,-136.720703
242,9,0,2,1354,58,27,7,3,1,16,0,0,31,167,188,293,96,77,184,99,86,179,15,164,121,26,65,145,152,79,60,8,1,3,123,5,0,0,5,364,86,53,86,51,48,79,126,26,15,20,30,17,5,2,12,236,17,70,120,41,30,158,35,48,56,23,705,195,371,289,101,34,7,67,20,3,174,1,86,60,21,29,63,3,2,1,0,1,0,0,0,1,5,9,15,2,3,9,4,3,12,2,10,4,1,0,6,16,4,11,0,2,5,4,0,0,0,0,13,2,0,5,3,2,4,18,8,2,2,9,7,5,0,2,10,0,2,9,1,0,8,0,2,5,1,28,8,11,12,4,0,0,4,2,0,16,2,5,7,2,4,6,2008,4,20,30.2872,9074.339844,9083.320313,8.980469
243,4,0,5,50,7,4,3,0,1,0,0,0,3,7,6,11,1,7,7,2,2,4,1,3,3,0,1,3,8,4,4,0,0,0,5,0,0,0,0,13,4,1,6,1,0,2,7,3,0,4,2,2,0,0,0,13,0,0,8,0,5,3,0,0,2,1,20,6,11,10,3,2,0,10,0,0,10,0,3,5,0,2,101,3,2,1,0,1,0,0,0,1,9,22,31,8,10,10,6,4,8,7,1,13,3,3,6,23,13,10,0,2,2,8,1,0,0,1,25,2,1,10,7,2,9,2,2,0,0,4,2,0,1,1,23,0,6,13,8,3,11,0,11,0,0,40,4,19,20,13,1,1,10,1,0,9,1,1,6,0,1,3,2012,10,5,29.248,7690.649902,7615.890137,-74.759765
244,2,0,2,163,2,1,0,0,0,1,0,0,1,36,12,13,14,10,48,14,6,13,0,13,6,0,12,8,28,10,10,2,0,0,31,0,2,0,0,51,25,6,8,6,2,11,20,11,3,4,23,13,0,6,10,51,21,14,19,6,4,12,0,0,11,1,66,11,32,26,39,1,2,18,14,1,27,0,12,17,0,10,21,1,0,0,0,0,0,0,0,1,1,4,8,0,1,2,0,1,4,2,2,5,0,3,1,1,0,0,0,0,0,3,0,0,0,0,3,0,2,1,0,0,2,2,1,0,1,1,1,0,0,0,1,0,1,0,1,0,3,2,0,1,0,6,3,1,3,5,0,0,7,0,0,5,0,3,2,1,1,2,2017,5,17,30.14,10013.66992,9969.450195,-44.219725
245,0,0,0,992,30,9,1,1,0,4,3,0,21,135,153,231,74,101,169,79,34,70,7,63,93,15,56,79,150,46,88,7,11,5,102,1,0,4,1,304,87,19,88,61,37,78,63,35,14,7,103,52,22,3,40,139,14,23,85,13,22,125,41,43,29,27,456,105,235,165,75,26,12,21,33,14,107,2,46,43,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2018,12,23,30.8,9676.669922,9639.700195,-36.969727
246,5753,845,4240,19262,725,318,145,13,46,107,6,1,407,2275,2094,3767,1216,1027,5098,1625,892,1363,155,1208,1777,291,1128,1581,2340,1153,965,83,126,115,1730,31,29,22,21,4572,1061,570,1114,688,553,1019,1297,568,275,366,1629,1147,162,83,331,3494,331,625,2193,481,293,2161,488,727,714,342,10277,2562,4679,4607,2100,317,136,2145,380,78,2281,42,1114,824,135,353,61543,3829,2189,913,33,824,325,35,59,1640,5636,8072,17228,2282,5602,9636,3498,2464,7839,3084,4755,5749,2002,3168,5458,11980,5513,5535,457,867,466,6118,449,126,143,379,16612,4177,1260,4225,2416,2333,4159,5069,1953,1330,1096,4207,2840,288,355,963,10560,819,1168,6787,1761,1039,7910,1199,2312,2399,2225,27224,7265,12962,11965,2878,953,462,3711,1290,750,11328,490,3337,5489,1575,1814,0,2022,4,25,29.37,16620.90039,16644.78906,23.88867
247,5689,514,3697,24867,910,414,204,16,92,93,8,1,496,2994,3155,6026,1706,1689,4636,1835,1143,2170,268,1902,2606,495,1312,2069,3346,1496,1480,138,205,173,2092,45,64,20,34,6731,1526,737,1824,1156,838,1522,2042,492,313,415,1198,745,96,96,316,4401,338,819,2771,530,503,2748,670,911,827,455,12582,3367,5740,5725,2383,292,143,2656,504,79,2919,78,1127,1103,275,553,61314,3675,2032,769,22,949,238,30,24,1643,5637,9258,17267,2245,5981,8395,3219,2541,7779,2942,4837,5802,1918,3232,4675,11005,4867,5216,407,715,402,5643,284,94,157,153,17969,4446,1417,5133,2794,2473,4343,5198,1535,959,1026,3207,1950,428,295,883,9962,769,1252,6040,1844,1073,7638,1492,2244,2058,2195,26509,7294,12096,11631,2972,864,459,4516,941,599,10122,438,2537,5199,1425,1807,1,2020,4,21,30.102,10288.41992,10307.74023,19.32031
